,url,title,salary,experience,company,area,schedule,working_hours,hiring_format,work_format,employment_type,description
0,https://hh.ru/vacancy/133409608?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Системный/бизнес-аналитик,,не требуется,ТОО Комита Цифровые Технологии,,График: 5/2,Рабочие часы: 8,Оформление: Трудовой договор,Формат работы: гибрид,Полная занятость,"Комита Цифровые Технологии (группа компаний Комита) – надежный партнер лидеров российского бизнеса в области цифровой трансформации.

8 лет наша компания занимается внедрением цифровых решений на базе передовых продуктов компаний-вендоров.

За 2023 год мы выросли на 61 % и объединяем более 150 профессионалов в области IT. Головной офис находится в Москве с центрами обслуживания клиентов в Санкт-Петербурге и Алматы.

Активно реализуем проекты Горизонтального мониторинга для крупнейших компаний Республики Казахстан. Сотрудничаем с компаниями в следующих отраслях: телекоммуникации, энергетика, нефтегазовая отрасль, металлургия, добывающая промышленность.

""ГОРИЗОНТАЛЬНЫЙ МОНИТОРИНГ"" - это новая форма налогового контроля. Она заменяет традиционные проверки на онлайн-взаимодействие на основе удаленного доступа к информационным системам налогоплательщика и его бухгалтерской и налоговой отчетности.

Что ждет тебя в роли Системного/бизнес-аналитика :

Изучение новых процессов;
Изучение нового программного обеспечения и его настройка;
Участие в разработке, согласовании и отработке замечаний по проектной документации;
Участие в подготовке обучающих материалов и проведении обучения ключевых пользователей и группы сопровождения;
Разработка бизнес-требований и методики проведения тестовых испытаний.

Что мы ждем:

Хорошие знания SQL – понимание основных операторов SQL (включая операторы объединения таблиц), объектов базы данных, понимание принципов работы оконных функций, индексов, ограничений, DDL, DML, DTL;
Знания MS Office (Word, Excel, Poewr Point) на уровне уверенного пользователя;
Высокая мотивация развиваться в IT-направлении, обучаемость;
Свободное владение казахским и русским языками;
Готовность к выездам в офис к заказчику;
Рассматриваем выпускников ВУЗов, готовых к полному рабочему дню и постоянной занятости без отвлечения на сессии и учебу.

Что мы предлагаем:

Получить опыт и построить карьеру в сфере аналитики;
Официальное трудоустройство и полное соблюдение трудового законодательства;
Молодой коллектив, комфортную атмосферу, внимательного руководителя;
Крупные проекты и интересные задачи;
Возможности для профессионального развития;
График работы 5/2 с 9:00 до 18:00 по KZ с возможностью гибридного формата работы."
1,https://hh.ru/vacancy/133307660?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"MarTech Engineer / Специалист по веб-аналитике и трекингу (GTM, GA4, Яндекс.Метрика, Postback, UTM)","130 000 ₽ за месяц, на руки",3–6 лет,ИП КРИВОШЕЙ ВАДИМ ПЕТРОВИЧ,,График: 5/2,Рабочие часы: 8,,Формат работы: удалённо,Полная занятость,"Наша маркетинг-команда генерирует много трафика и идей, и нам нужен сильный тестировщик, который возьмет на себя всю техническую изнанку процессов. Вы станете главным связующим звеном между маркетингом и разработкой.

Ваша ключевая задача — обеспечивать идеальную техническую работу сайтов, лендингов и трекинга. Нужно будет переводить задачи маркетологов на строгий язык ТЗ, контролировать инженеров и самостоятельно работать руками: от настройки Postback и GTM до ручного QA-тестирования интерфейсов перед релизами.

Чем предстоит заниматься
• Следить за стабильной работой сайтов и лендингов.
• Проверять работоспособность личного кабинета (ЛК).
• Тестировать формы регистрации и отправки заявок.
• Мониторить пользовательские пути (User Flow) и убирать баги.
• Настраивать и проверять перенаправления сайтов (редиректы).
• Устанавливать и тестировать счетчики Яндекс.Метрики, GA и GTM.
• Размечать ссылки UTM-метками и параметрами source.
• Настраивать и проверять логику postback-уведомлений.
• Переводить идеи маркетологов на язык программистов.
• Писать четкие технические задания (ТЗ) для разработки.
• Контролировать дедлайны выполнения задач инженерами.
• Самостоятельно проводить QA-тестирование до релиза.
• Проверять корректность работы функций на «проде» (после выпуска).
• Измерять, как технические изменения влияют на маркетинг-метрики.

Требования:

• Опыт работы: От 2 лет на стыке технического маркетинга, веб-аналитики или продуктового менеджмента (опыт в FinTech будет преимуществом).
• Понимание принципов работы веб-сайтов, клиент-серверного взаимодействия, систем трекинга и веб-аналитики (Яндекс.Метрика, Google Analytics, GTM).
• Умение декомпозировать маркетинговые идеи в строгие алгоритмы и ТЗ для программистов.
• Опыт самостоятельного тестирования функционала (форм, ссылок, разметки) до и после релизов.
• Способность говорить на одном языке как с креативными маркетологами, так и с инженерами разработки.

Плюсом будет:
• Опыт работы в МФО/Igaming
• Опыт работы под ограничениями (блокировки, переезды доменов, обход модерации) • SMS- и мессенджер-маркетинг, Telegram-каналы

Условия:

• График: 5/2 с 9 до 18:00
• Удаленный формат работы
• Возможность карьерного роста
• Бонусы и активности от компании
• Заработная плата состоит из оклада"
2,https://hh.ru/vacancy/132276822?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Junior Data Analyst,,не требуется,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel) | IT,,График: 5/2,Рабочие часы: 8,,Формат работы: на месте работодателя или гибрид,Полная занятость,"Мы верим, что новое качество жизни можно нести через реализацию потенциала современных цифровых услуг. Мы первые третий год подряд по скорости и покрытию связи среди операторов Казахстана по версии Ookla. Мы также лучший работодатель страны по версии премии «HR-бренд Центральная Азия».

Мы не боимся менять правила и ставить амбициозные задачи. Всегда требовательны к себе: результатом нашей работы пользуются друзья, близкие, миллионы абонентов по всей стране — и мы сами. У нас принято делиться знаниями, подходами в работе и удачными решениями. Поэтому мы устраиваем внутренние и внешние митапы, ездим с докладами по разным городам и странам.

НУЖНО УМЕТЬ:

Анализировать данные по клиентской базе и находить инсайты для бизнеса;
Формулировать выводы и рекомендации на основе анализа данных;
Работать с бизнес-заказчиками: уточнять запросы и переводить их в аналитические задачи;
Строить базовую предиктивную аналитику и модели под руководством старших коллег;
Работать с конфиденциальной абонентской информацией и соблюдать требования безопасности.

НАС ИНТЕРЕСУЕТ:

Опыт в анализе данных от 1 года (или уверенный junior с практикой);
Хороший уровень SQL и опыт работы с большими таблицами;
Python для анализа данных (pandas, numpy);
Навыки визуализации данных (Power BI / Tableau);
Базовое понимание статистики и предиктивных моделей;
Плюсом будет опыт или интерес к телеком-данным и клиентской аналитике;

ЗАРПЛАТА - ЭТО ЕЩЕ НЕ ВСЁ:

Гибридный формат работы и гибкое начало рабочего дня;
Профессиональное развитие: участие в митапах, тренингах, конференциях, демо-днях и хакатонах;
Дополнительные 4 дня отпуска — итого 28 календарных дней за год;
Годовой бонус по результатам достижения KPI;
Корпоративная сотовая связь;
Добровольная медицинская страховка со стоматологией и лекарствами с возможностью бесплатно добавить двух близких родственников;
Фитнес-абонементы со скидкой и в рассрочку;
Онлайн-платформа бесплатной психологической помощи;
Доступ к корпоративной онлайн-библиотеке MyBook."
3,https://hh.ru/vacancy/133268928?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Стажер-аналитик,,не требуется,СП ООО Nazarov Rakhimbayev Group,,,,,Формат работы: на месте работодателя,"Полная занятость
Стажировка","Обязанности:
Изучение и анализ информации на рынке Узбекистана в сфере жилой недвижимости и строительства;
Отслеживание объема и трендов строительного рынка в Узбекистана и за рубежом;
Составление маркетинговых исследований для руководства;
Разработка предложений и презентационных материалов по проектам для руководства, клиентов и инвесторов.
Требования:
Умение создавать презентации и визуализировать информацию;
Аналитический склад ума;
Креативные навыки;
Обширный кругозор, владение информацией по глобальным трендам;
Готовность к высокому темпу работы.

​​​​​"
4,https://hh.ru/vacancy/133352863?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Системный аналитик,"от 200 000 ₽ за месяц, на руки",1–3 года,ООО ВБЦ,,График: 5/2,Рабочие часы: 8,,Формат работы: на месте работодателя или гибрид,Полная занятость,"Мы — финтех-компания с ИТ аккредитацией, работающая на рынке B2B финансовых решений. Помогаем бизнесу привлекать финансирование (банковские гарантии, кредитование, страховые решения) через удобный маркетплейс и собственную экспертизу.

В проектах - высоконагруженные интеграции с банками, работа с данными в реальном времени и сложная бизнес-логика.

Ищем системного аналитика, который сможет брать на себя проработку требований, проектирование интеграций и участие в архитектурных решениях.

Обязанности:

Сбор, анализ и формализация бизнес, функциональных и нефункциональных требований

Проработка и описание интеграций (REST, WebSocket, Kafka, SOAP)

Разработка и сопровождение API-спецификаций (Swagger / OpenAPI)

Моделирование бизнес-процессов и пользовательских сценариев (BPMN, UML)

Участие в проектировании архитектуры решений (C4, ERD)

Подготовка документации: SRS, ТЗ, Use Case, User Stories, ADR

Проектирование структур данных и участие в проработке БД (PostgreSQL)

Анализ данных и проверка гипотез с использованием SQL

Взаимодействие с разработкой, QA и бизнесом на всех этапах реализации

Участие в декомпозиции задач и сопровождении разработки

Требования:

Опыт работы системным аналитиком от 2–3 лет (желательно в финтехе)

Опыт проектирования интеграций между системами

Уверенное знание REST API, понимание WebSocket, Kafka или SOAP

Навыки моделирования: UML, BPMN, ERD (желательно знание C4)

Опыт написания SRS, ТЗ, API-спецификаций

Средний уровень SQL (JOIN, оконные функции, DDL/DML)

Понимание принципов работы высоконагруженных систем

Опыт работы в Agile-командах (Scrum / Kanban)

Будет плюсом

Опыт в банковских гарантиях, кредитовании
Опыт работы с государственными системами (ЕИС, реестры и т.д.)
Участие в проектировании систем “с нуля”
Условия:

Участие в развитии сложных финтех-продуктов

Влияние на архитектуру и ключевые решения

Работа с высоконагруженными системами и real-time данными

Сильная кросс-функциональная команда

Гибкие процессы и современный стек инструментов:

Jira, Confluence, Draw.io, Camunda, PlantUML, Postman, Swagger, Kafka UI, DBeaver, GitLab, Redis, Grafana, Kibana

Официальное оформление;
Аккредитованная ИТ компания;
Конкурентная заработная плата."
5,https://hh.ru/vacancy/133370091?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Системный аналитик,,1–3 года,ООО Инсейлс Рус,,График: 5/2,Рабочие часы: 8,Оформление: Трудовой договор,Формат работы: гибрид,Полная занятость,"inSales — это многоканальная платформа управления онлайн-торговлей в цифровых направлениях:
Свой интернет-магазин, Маркетплейсы, Соц.сети и мессенджеры.
В 2021 году мы присоединились к эко-системе Сбера, поэтому мы в процессе очень динамичного роста показателей и направлений в продукте. Штат компании в данный момент более 160 человек. Наш отдел разработки насчитывает почти 50 разработчиков, которые поддерживают основной сервис и ещё несколько десятков вспомогательных.


Чем предстоит заниматься:

Сбором, анализом и приоритизацией требований к программным продуктам;
Формализацией и документированием функциональных и нефункциональных требований к программным продуктам;
Формированием требований к качеству данных;
Моделированием бизнес-процессов с использованием UML- и BPMN-нотаций;
Анализом, выбором вариантов и составлением спецификаций интеграционных взаимодействий;
Участием в проработке архитектуры требуемых решений;
Проектированием структуры данных и ее представлением в базах данных задействованных информационных систем;
Проверкой соответствия разработанного программного обеспечения исходным требованиям;
Проведением анализа данных в БД, формированием отчетности;
Выявлением проблемных точек в работе информационных систем, формированием предложений по их оптимизации;
Участие в командных мероприятиях по оценке задач и оптимизации рабочего процесса.


Что для этого нужно:

Опыт работы на позиции системного аналитика от 2-х лет;

Знание протоколов клиент-серверного взаимодействия (REST, JSON-RPC), распространенных форматов обмена (JSON, XML), принципов построения API;

Опыт формализации требований в виде UML-, BPMN-, ER-диаграмм;

Понимание принципов проектирования баз данных, навыки работы с SQL;

Понимание жизненного цикла разработки ПО;

Умение анализировать варианты решения задач и аргументированно выбирать наиболее подходящий;

Умение объяснять сложные технические вещи простыми словами.


Будет большим плюсом:

Опыт работы в ecom;

Знание SQL на продвинутом уровне;

Базовые знания какого-либо языка программирования.


Что мы предлагаем:

Оформление по ТК РФ;
Гибридный формат работы: 5/2, офис г. Москва, ул. 1-я Тверская-Ямская, дом 21, БЦ Four Winds Plaza;
Заботу о здоровье: у нас есть ДМС и специальные условия для стоматологии и страхования семьи, ;
Программу адаптации: с первого дня работы простыми словами узнаешь о компании, коллегах, и что от тебя ждут в ближайшие три месяца;
Обучение за счет компании: участие в конференциях, выставках, семинарах и пр.;
Подписка СберПрайм + ."
6,https://hh.ru/vacancy/132926110?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Аналитик данных (в офис),"от 89 000 до 120 000 ₽ за месяц, на руки",1–3 года,ЭКСЦЕЛЬСИОР,,График: 5/2,Рабочие часы: 8,Оформление: Трудовой договор,Формат работы: на месте работодателя,Полная занятость,"Компания ""Эксцельсиор"" - лидер среди аутсорсинговых компаний, предлагает свои услуги уже на протяжении 14 лет.

Нас отличают доверие клиентов и уважение сотрудников. Мы успешно оказываем услуги в 42 регионах России, в настоящее время в нашей команде уже более 11 000 человек и мы продолжаем активно расти и развиваться.

Задачи:

- Планирование и контроль размещения рекламы (объявления о вакансиях в онлайн каналах);

- Мониторинг эффективности размещённой рекламы (анализ конверсии, спроса, стоимости откликов, стоимости лида, стоимости публикаций);

- Подготовка отчётности по эффективности размещённой рекламе, сквозная отчетность по размещаемой рекламе;

-Взаимодействие с коллегами по эффективному запуску рекламы.

Требования:

-Опыт работы аналитиком от 1 года (на проектах/постоянная работа);

-Высшее образование/незаконченное высшее (математическое, техническое, экономическое);

-Знание Excel, продвинутый уровень ;

-Аналитический склад ума: умение предлагать решение на основе полученных данных;

-Внимательность и ответственный подход к работе;

Умение анализировать данные, прогнозировать предлагать.

Условия:

-График работы 5/2, 9.00-18.00. офис

-Официальное трудоустройство с первого дня;

-ДМС через 1 год работы;

-Возможность участвовать в программе ""карьера в Эксцельсиор""."
7,https://hh.ru/vacancy/133233313?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Финансовый аналитик,"до 250 000 ₽ за месяц, до вычета налогов",3–6 лет,ПАО ЯТЭК,,График: 5/2,Рабочие часы: 8,Оформление: Трудовой договор,Формат работы: на месте работодателя,Полная занятость,"ОБЯЗАННОСТИ:

обработка и анализ информации из учетных систем Компании (на предмет сверки данных, поиска неэффективностей в процессах, улучшения оперативного учета), подготовка оперативных аналитических отчетов (финансовых, операционных)

автоматизация представления оперативных данных и отчетов с целью повышения контроля текущей деятельности (в т.ч. с участием других служб и по их запросам)

консолидация информации в рамках бюджетирования и прогнозирования показателей деятельности Компании, подготовка презентаций в рамках бюджетного процесса, автоматизация процесса бюджетирования, разработка методологии бюджетирования/прогнозирования и единых форм, помощь в выстраивании бюджетного процесса и оперативного планирования

оперативный анализ показателей финансовой и налоговой отчетности
помощь в координация кросс функциональных задач между службами, помощь в прочих рутинных задачах Финансового директора (анализ оперативных данных, документов, процессов)
поддержка при решении оперативных задач служб Финансового директора
ТРЕБОВАНИЯ:
Высшее образование (преимущественно – Экономика, Финансовый менеджмент)
Глубокие знания в области бухгалтерского учета и финансовой отчетности (РСБУ/МСФО). Свободное чтение финансовой отчетности, понимание взаимоувязки форм отчетности и статей
Хорошие знания налогового учета (основные принципы формирования НУ, понимание формирования всех видов налогов)
Опыт работы в финансово-экономической сфере (реальный сектор промышленные компанииили аудит) не мене 5 лет (опыт работы в Big4 будет преимуществом), с руководящим опытом не менее 1 года
Понимание основных принципов построения краткосрочных прогнозов/бюджетов
Хорошие знания финансового моделирования (чтение финансовых моделей, их построение)
Хорошие аналитические способности и опыт работы с большими массивами данных (хорошие знания excel), навыки представления/презентации финансовой информации, навыки эффективной коммуникации и работы в команде.
УСЛОВИЯ:
Возможность предлагать и реализовывать свои идеи.
Приоритет на оптимизацию всех процессов.
Работа в современном офисе А класса в шаговой доступности от м. Павелецкая или дистанционно.
Командировки в РС(Я) ориентировочно 6 раз в год.
ДМС.
Обучение и развитие."
8,https://hh.ru/vacancy/133262724?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Финансовый аналитик,"от 3 000 до 5 000 $ за месяц, на руки",более 6 лет,ТОО EDGE Kazakhstan,,График: 5/2,Рабочие часы: 9,,Формат работы: на месте работодателя,Полная занятость,"О позиции

Акселератор - новое подразделение, задача которого развивать и запускать местное производство в Казахстане под нужды компании и в целом для горнорудной отрасли. Мы работаем с казахстанскими производителями, помогаем им довести продукцию и процессы до уровня требований и системно замещаем импорт.

В команду срочно ищем финансового аналитика, который возьмёт на себя экономику проектов локализации: от оценки идей и бизнес-кейсов до сопровождения партнёров и контроля результатов.

Обязанности

Строить и поддерживать финансовые модели проектов локализации (NPV, IRR, payback, чувствительность, сценарный анализ).
Разбирать экономику конкретных видов продукции и технологических переделов: себестоимость, capex, opex, точка безубыточности, влияние объёмов и цен.
Готовить бизнес-кейсы по новым проектам и инвестиционные обоснования для руководства Kazminerals и партнёров.
Анализировать данные по закупкам, импорту, ценам и поставщикам в Excel
Проводить финансовую экспертизу местных производителей и партнёров, разбирать их P&L, структуру затрат, потребность в инвестициях.
Сопровождать проекты на стороне Акселератора, отслеживать ключевые показатели, актуализировать модели, давать рекомендации команде и партнёрам.
Готовить регулярные отчёты, дашборды и презентации по портфелю проектов.
Работать в связке с инженерами, технологами, закупками и партнёрами

Требования

Опыт работы финансовым аналитиком от 6 лет. Опыт в промышленности, горнорудной отрасли, консалтинге, инвестициях или производственных компаниях будет плюсом.
Глубокий Excel: сложные формулы, сводные таблицы, Power Query/Power Pivot, чистая работа с большими массивами данных.
Уверенное построение финансовых моделей с нуля
Способность быстро разбираться в технологии производства - читать техническую документацию, общаться с инженерами и переводить технические параметры в экономические допущения.
Самостоятельность - умение вести проекты и направления без ежедневного супервижина, самому ставить себе задачи, добывать данные и доводить работу до результата.
Английский язык - обязательно, уровень не ниже Upper-Intermediate (работа с иностранными поставщиками, документацией, корпоративная коммуникация).
Китайский язык - как преимущество (работа с поставщиками из КНР).
Высшее образование в области финансов, экономики, инженерии или смежных направлений"
9,https://hh.ru/vacancy/131967365?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Аналитик торгового пространства,"от 120 000 ₽ за месяц, на руки",1–3 года,ВкусВилл. Офис,,График: 5/2,Рабочие часы: 8,"Оформление: Договор ГПХ с самозанятым, с ИП, с физлицом",Формат работы: гибрид,Полная занятость,"Привет!

Наша команда ВкусВилл постоянно растет и сейчас мы в поиске в отдел планирования и аналитики торгового пространства Менеджера проектов с опытом аналитики.
Если ты чувствуешь, что это про тебя, то читай дальше условия:

Чем предстоит заниматься:

Активно взаимодействовать со смежными подразделениями;
Работать с почтой;
Подготавливать аналитику по проектам: выгрузка данных, работа с Excel и готовыми отчетами;
Работать с большими данными, анализировать, находить закономерности, делать выводы по тестам и формировать рекомендации по масштабированию;
Презентовать проекты на общих встречах;
Организовывать процессы и в дальнейшем самостоятельно разрабатывать новые проекты.

Наш кандидат:

Знает Excel на высоком уровне;
Имеет опыт работы с аналитикой данных;
Умеет анализировать большие объемы данных;
Умеет делать выводы из данных и в понятном формате доносить ее коллегам;
Самостоятельный, включенный, системный и внимательный;
Умеет глубоко погружаться в детали, обладает аналитическим складом ума;
Инициативный, готов учиться внутри компании и предлагать свои идеи

Условия:

Работа в постоянно растущей и развивающейся компании;
Интересные и масштабные задачи и возможности для их эффективной реализации;
Самостоятельность в принятии решений;
Офис: м. «Строгино», Москва. На некоторые позиции готовы обсуждать гибридный график работы с посещением офиса 1-2 раза в неделю;
Кешбэк 15% бонусами на покупки во ВкусВилл;
Возможности обучения по самым разным направлениям (тренинги, книжные клубы, открытые семинары), корпоративные психологи.
Предусмотрен испытательный срок;

Программа «Здоровый сотрудник»: частичная компенсация медицинских услуг, ДМС и абонемента в фитнес-клуб;

Оклад на период испытательного срока от 70 000 руб на руки.

Присоединяйтесь к команде, которая делает жизнь людей более здоровой и вкусной!"
