ngram,count
бизнес,1096
процессов,655
анализ,653
работа,525
работать,473
00,455
sql,452
аналитика,421
разработки,407
1с,386
анализа,373
задач,367
задачи,359
решений,355
систем,342
it,339
excel,328
бизнес процессов,303
решения,303
разработка,297
документации,278
bi,266
системы,251
обучение,237
пользователей,237
сбор,235
принципов,232
области,231
роста,230
api,226
процессы,225
power,220
bpmn,218
официальное,218
анализировать,215
проектов,215
контроль,209
информации,209
уровень,207
ит,203
поддержка,203
взаимодействие,202
формирование,200
аналитики,199
развития,197
развитие,196
сотрудников,195
который,194
бизнеса,189
автоматизации,188
отчетности,187
продаж,184
python,183
работу,183
18,182
дня,182
знания,181
команду,178
трудоустройство,177
аналитиком,176
участвовать,175
проектах,173
управления,171
года,170
системами,170
uml,169
если,168
отчетов,166
технических,165
уровне,165
rest,165
системного,163
преимуществом,160
продукта,159
продуктов,159
проектирования,158
новых,157
компаний,157
тз,155
командой,152
моделей,151
после,150
качества,149
данные,149
архитектуры,148
реализации,147
аналитических,147
взаимодействия,145
проведение,145
работе,145
россии,145
интеграции,144
сфере,144
данными,143
официальное трудоустройство,143
тестирования,142
запросов,142
18 00,142
and,140
офисе,140
обучения,140
плата,139
заработная,138
нам,138
заработная плата,138
data,137
описание,137
разработке,137
наши,135
00 18,135
проводить,133
скидки,133
между,133
без,131
00 18 00,130
информационных,129
которые,128
ты,127
проектирование,127
power bi,127
проекты,127
финансовых,126
уверенное,123
профессионального,122
инструментами,122
технической,121
рынка,121
ms,121
корпоративная,120
мышление,120
построения,120
10,119
клиентов,119
основе,119
делать,118
выявление,117
возможности,117
продукты,117
гибридный,115
ai,115
написание,115
карьерного,114
моделирования,113
000,113
создание,113
есть,113
способность,112
день,112
внимательность,112
внедрения,112
системного аналитика,111
показателей,111
метрик,111
сервисов,110
confluence,110
описания,110
erp,110
эффективности,110
интеграций,110
др,108
аналитик,108
управление,108
включая,107
связи,107
формировать,106
рост,106
нашей,105
рынке,104
деталям,104
корпоративные,104
jira,103
функциональных,103
интервью,101
ответственность,100
технологий,99
тебя,99
большими,99
результат,98
таблицы,98
разработку,98
через,97
опыта,97
рабочего,97
важно,97
готовность,97
30,96
сбора,96
программа,95
чтобы,95
онлайн,95
ведение,95
заданий,94
ожидаем,94
сложные,94
сейчас,93
оптимизация,93
bpmn uml,93
инструментов,93
материалов,93
где,93
согласование,93
стоматологией,93
аналитические,93
которая,92
бд,92
подготовки,92
навык,92
обработка,92
роли,91
результатам,91
первого,91
под,90
обсуждается,90
написания,89
заказчиками,89
собирать,89
деятельности,89
финансового,89
тестирование,89
страхование,88
готовы,88
испытательного,88
всех,88
срока,87
основ,87
рамках,87
склад,87
функционала,87
описывать,87
аналитике,87
банка,86
вместе,86
быстро,86
просто,86
ума,86
модели,85
различных,85
техническое,85
центре,85
испытательного срока,85
поддержки,84
внутренних,84
программы,84
изменений,84
пакет,83
внутри,83
ждем,83
сбор анализ,83
продукт,83
наша,83
аналитический,82
вам,82
мониторинг,82
дашбордов,82
других,81
технических заданий,81
обеспечения,81
результатов,81
сценариев,80
руководства,80
соответствии,80
базовые,80
заказчика,80
помощь,80
технические,80
учета,80
профессионалов,80
процесса,80
разработчиков,79
современный,79
сводные,79
рабочего дня,79
проект,79
взаимодействовать,79
информационных систем,79
опытом,79
формализация,79
только,79
можно,79
комфортный,79
to,78
новые,78
разрабатывать,78
ключевых,78
курсы,78
проверка,78
оптимизации,77
soap,77
компенсация,77
сопровождение,77
google,77
развиваться,76
карьерного роста,76
crm,76
проектной,76
нужно,76
сложных,76
функции,76
источников,75
запросы,75
проекта,75
логики,75
использованием,75
склад ума,75
сводные таблицы,75
обязательно,74
технологии,74
поиск,74
постановка,74
оценка,74
белая,74
заказчиков,73
готовить,72
полностью,72
презентаций,72
уверенный,72
поддерживать,72
аналитический склад,72
аналитический склад ума,72
json,72
выявлять,72
гибкий,71
мероприятия,71
автоматизация,71
партнеров,71
пользовательских,71
оценки,71
метро,70
наличие,70
жизни,70
экономики,70
разработкой,70
документацию,70
базы,70
месяца,69
командами,69
совместно,69
влиять,69
баз,69
обработки,69
жизнь,69
использования,69
hr,69
отчётности,69
заработной,69
user,68
желательно,68
находить,68
финансовой,68
удаленный,68
построение,68
система,68
уровня,67
коллектив,67
разработчиками,67
системным,67
цикла,67
развитии,66
счет,66
документов,66
системе,66
язык,66
практический,66
итогам,66
схем,66
информацию,66
инструменты,66
продуктовых,65
аккредитованной,65
год,65
программного,65
моделирование,65
другие,65
сценарии,64
время,64
внимательность деталям,64
бизнес аналитика,64
оплата,64
формулировать,64
место,64
видеть,63
системах,63
желание,63
вопросы,63
kpi,63
оклад,63
кандидата,63
все,63
